"Dim1_High_Var","Dim1_High_Val","Dim1_Low_Var","Dim1_Low_Val","Dim2_High_Var","Dim2_High_Val","Dim2_Low_Var","Dim2_Low_Val","Dim3_High_Var","Dim3_High_Val","Dim3_Low_Var","Dim3_Low_Val","Dim4_High_Var","Dim4_High_Val","Dim4_Low_Var","Dim4_Low_Val","Dim5_High_Var","Dim5_High_Val","Dim5_Low_Var","Dim5_Low_Val"
"freue",0.960858745274439,"wenns",-1.59918269049111,"deutsch",0.786214061905866,"irgendwo",-0.878984526052969,"teilweise",0.660977414615891,"sofa",-0.703833721418238,"sofort",0.552221886250823,"couch",-0.735268525429467,"stellt",0.506242990540385,"normale",-0.600204585232359
"wohne",0.92164576472667,"schauen",-1.60654016913931,"hahah",0.77060492957062,"schön",-0.880508701715382,"eins",0.642158878994333,"kumpel",-0.748172904141263,"beides",0.552143223566701,"lui",-0.748910474542797,"nacht",0.502778971727959,"abi",-0.602534355905993
"bin",0.914625229503357,"anschauen",-1.63782958748596,"nein",0.770118672253372,"bafög",-0.882341698235233,"total",0.635844221050652,"bisch",-0.763719229022938,"gehören",0.552017646944159,"geschaut",-0.804858263738325,"6",0.475824679903454,"tun",-0.60504771874413
"verstehe",0.896999294657363,"dus",-1.66126482702392,"dates",0.770070118027694,"abgeben",-0.895544566888732,"hätt",0.635536416880563,"22",-0.783367660134681,"ersten",0.546479305086056,"ende",-0.861691427207434,"sachen",0.47421403168089,"überall",-0.610711344488476
"arbeit",0.886677832704114,"möppes",-1.67515981063137,"scheisse",0.768226092381027,"party",-0.940046468671375,"sogar",0.631307990481341,"abend",-0.794455785818251,"gott",0.543863750456592,"net",-0.882741309847878,"karma",0.473797191614821,"d",-0.613102512723027
"fotos",0.878939702796836,"heut",-1.76383173315892,"leben",0.767894732662588,"polizei",-0.953314523171343,"ihm",0.628530167434222,"isch",-0.809069087319206,"mega",0.530421004595463,"w",-0.98698010600075,"titten",0.473012877230037,"vorhin",-0.703231370083231
"lügen",0.876221558915066,"heim",-1.77561833914212,"bild",0.754369208096119,"zufällig",-0.962028377211017,"eu",0.614967782865668,"l",-0.851823052378257,"weinen",0.529613983934448,"gsi",-0.992506871242778,"repost",0.472104542960763,"meist",-0.750630750124716
"cdu",0.876103512827272,"grad",-1.78669454804783,"lust",0.74995652442457,"gefunden",-0.999554485309552,"halt",0.590720021402837,"nachher",-0.858440499732135,"gegenteil",0.52569082384081,"rewe",-1.04541817018263,"kerl",0.47089224952651,"finde",-0.764137392705634
"gut",0.865249579731897,"glaub",-1.84284453770575,"deinem",0.744890825010554,"hamburg",-1.05959672630212,"a",0.588597194650661,"heute",-0.868559967436882,"one",0.522684597513412,"sau",-1.12852446250436,"frau",0.469155092453243,"city",-0.774551828562109
"liege",0.857661638029753,"schau",-1.93914970641915,"hahahaha",0.744390709505296,"studenten",-1.06278162899775,"selbe",0.58245299722031,"bahn",-1.07356472834232,"isch",0.521962713017464,"eben",-1.14820041977573,"nem",0.467165513929427,"selbst",-0.818785610175328
"pizza",0.851639199119121,"daheim",-2.02703345742609,"hässlich",0.737596602441412,"stadt",-1.0738437938285,"finde",0.575931718139336,"lörres",-1.51870453577632,"wen",0.521882317798136,"vj",-1.5701253776998,"unterhalten",0.464310831525683,"unglaublich",-0.843838745594498
"lasse",0.850459467485414,"is",-2.12846197188369,"okay",0.736830602829288,"mensa",-1.2546357716042,"nr",0.574506490820981,"möppes",-1.77719359890839,"richtiger",0.521049946754333,"frankfurt",-1.8295013402112,"auseinander",0.460234346503738,"döner",-0.890080325773659
